Wall time,Step,Value
1747494340.475999,0,0.9100759625434875
1747494354.857749,1,0.7466422915458679
1747494367.31067,2,0.696714460849762
1747494379.77423,3,0.6654183268547058
1747494391.931318,4,0.6440222859382629
1747494404.275846,5,0.6283858418464661
1747494418.553322,6,0.6279057860374451
1747494430.945729,7,0.6211375594139099
1747494443.093556,8,0.6160208582878113
1747494455.175811,9,0.6126710176467896
1747494467.206046,10,0.6087986826896667
1747494481.012084,11,0.6084545254707336
1747494493.424922,12,0.6010897159576416
1747494505.589583,13,0.5965334177017212
1747494517.726589,14,0.5933502912521362
1747494529.896147,15,0.5945521593093872
1747494543.884716,16,0.5892499685287476
1747494556.208763,17,0.589300274848938
1747494568.591405,18,0.5818178653717041
1747494580.774534,19,0.5807662010192871
1747494592.915761,20,0.5788940787315369
1747494606.926625,21,0.5789239406585693
1747494619.658906,22,0.5731831789016724
1747494634.125325,23,0.5747509002685547
1747494647.350798,24,0.5652112364768982
