Wall time,Step,Value
1747497313.492006,0,0.8740612864494324
1747497334.779135,1,0.7189047932624817
1747497350.049071,2,0.6674668788909912
1747497365.325024,3,0.6393662095069885
1747497380.961582,4,0.6261513829231262
1747497396.476141,5,0.6160702705383301
1747497418.23335,6,0.6086580753326416
1747497433.545439,7,0.6058405637741089
1747497449.360706,8,0.6001309752464294
1747497465.001037,9,0.5940245389938354
1747497480.810823,10,0.5848168134689331
1747497503.892103,11,0.5818828344345093
1747497520.543765,12,0.5803627967834473
1747497536.265699,13,0.5707471966743469
1747497551.58584,14,0.5660695433616638
1747497566.967774,15,0.5699273347854614
1747497588.876668,16,0.5655877590179443
1747497604.546054,17,0.5563578009605408
1747497620.033088,18,0.5518910884857178
1747497635.406775,19,0.5461567044258118
1747497650.950744,20,0.5456212759017944
1747497672.442635,21,0.539861261844635
1747497688.264227,22,0.5374413132667542
1747497703.921548,23,0.5351821184158325
1747497719.839784,24,0.5287224650382996
