Wall time,Step,Value
1747494005.964987,0,0.9007584452629089
1747494019.347949,1,0.7952749133110046
1747494031.484962,2,0.7267367243766785
1747494043.373897,3,0.6890495419502258
1747494055.506785,4,0.6628469824790955
1747494067.289579,5,0.6485282182693481
1747494079.974557,6,0.6338627338409424
1747494091.51685,7,0.6300594210624695
1747494103.225553,8,0.6281164288520813
1747494115.024563,9,0.622792661190033
1747494126.759772,10,0.6229060292243958
1747494139.707125,11,0.6154161691665649
1747494151.747205,12,0.6156072020530701
1747494163.570845,13,0.6141701936721802
1747494175.209706,14,0.6082831621170044
1747494187.036063,15,0.6100450754165649
1747494199.939301,16,0.6006749868392944
1747494212.472515,17,0.5997442603111267
1747494224.263708,18,0.5955038666725159
1747494235.868643,19,0.5969464778900146
1747494247.462346,20,0.5940040349960327
1747494260.029967,21,0.5926888585090637
1747494271.636903,22,0.5919647216796875
1747494283.245667,23,0.5886495113372803
1747494294.848369,24,0.5875876545906067
