Wall time,Step,Value
1748797605.565912,0,0.9827028512954712
1748797614.94917,1,0.8565967679023743
1748797623.950393,2,0.8008185625076294
1748797633.152541,3,0.7408140301704407
1748797642.81603,4,0.6995753049850464
1748797651.925793,5,0.6683224439620972
1748797661.307356,6,0.6515529155731201
1748797670.359128,7,0.6358944773674011
1748797679.447895,8,0.628947377204895
1748797688.508781,9,0.6217444539070129
1748797697.588495,10,0.6183700561523438
1748797708.135126,11,0.6134694814682007
1748797717.141641,12,0.613452136516571
1748797726.176924,13,0.6061197519302368
1748797735.202084,14,0.6081441044807434
1748797744.362838,15,0.6050043106079102
1748797753.786059,16,0.5981050133705139
1748797762.876079,17,0.5983040928840637
1748797772.849481,18,0.5959100127220154
1748797782.062669,19,0.5924120545387268
1748804029.574559,20,0.5855988264083862
1748804039.543213,21,0.5877002477645874
1748804048.906917,22,0.5820833444595337
1748804058.300549,23,0.578401505947113
1748804067.554281,24,0.5821447968482971
1748804076.835731,25,0.5781645178794861
1748804087.161031,26,0.5722371339797974
1748804096.171818,27,0.5691041350364685
1748804105.317494,28,0.5702333450317383
1748804114.574954,29,0.5672715306282043
1748804123.942764,30,0.5682818293571472
1748804133.624036,31,0.5597684979438782
1748804142.874792,32,0.5631453990936279
1748804153.260378,33,0.5609138607978821
1748804162.566955,34,0.5547981858253479
1748804172.000123,35,0.5578937530517578
1748804181.541401,36,0.5525704622268677
1748804190.659137,37,0.5498252511024475
1748804199.874651,38,0.5480896830558777
1748804209.05941,39,0.5507408976554871
1748804219.009311,40,0.5478079915046692
1748804228.493908,41,0.5421783924102783
1748804237.769355,42,0.5445898175239563
1748804246.948006,43,0.5397346615791321
1748804256.105963,44,0.5350151658058167
1748804265.429175,45,0.5334440469741821
1748804274.986047,46,0.5347336530685425
1748804284.424511,47,0.5350592136383057
1748804293.904999,48,0.5314902663230896
1748804302.955092,49,0.5285240411758423
1748804869.77712,50,0.5299674272537231
1748804879.691039,51,0.5257535576820374
1748804889.062291,52,0.5289373993873596
1748804898.216809,53,0.5206881165504456
1748804907.178288,54,0.5200552940368652
1748804916.134115,55,0.5320274233818054
1748804925.498218,56,0.5234799981117249
1748804935.419178,57,0.515891969203949
1748804944.435697,58,0.5178040266036987
1748804953.62499,59,0.5162931084632874
